program_id,name,governing_body,tier,gender,min_age,max_age,geographic_scope,founded_year,num_clubs,num_players_estimate,website,notes
P001,AYSO Recreational,AYSO,1,Both,4,18,national,1964,800,600000,ayso.org,"Recreational; volunteer coaches; Everyone Plays; 50000 teams; 600k+ players 2025; age drop-off: 4U-8U=55% of pool, 10U-12U=28%, 14U=10%, 16U-19U=5%"
P002,US Youth Soccer Recreational,US Youth Soccer,1,Both,4,19,national,1974,9500,2600000,usyouthsoccer.org,Largest youth soccer org in US
P003,US Club Soccer,US Club Soccer,2,Both,8,19,national,2001,1400,400000,usclubsoccer.org,Competitive travel; parent org for ECNL
P004,ECNL Girls,US Club Soccer,3,Girls,13,19,national,2009,120,20000,eliteclubsnationalleague.com,Premier girls college-prep league
P005,ECNL Boys,US Club Soccer,3,Boys,13,19,national,2017,70,12000,ecnlboys.com,Boys counterpart; launched 2017
P006,MLS NEXT,Major League Soccer,4,Boys,13,19,national,2020,273,43000,mlsnext.com,"Top boys tier; 273 clubs 2189 teams 43000+ players (2025-26); TWO TIERS: Homegrown Division (MLS academies+elite) and Academy Division (broader clubs, regionalized); HS play allowed in Academy Div; MLS NEXT Fest 1000+ teams; scholarship initiative 1 fully-funded spot per club per season"
P007,MLS NEXT Pro Academies,Major League Soccer,4,Boys,13,22,national,2022,29,5000,mlsnextpro.com,Fully funded by MLS clubs; Homegrown pipeline
P008,Girls Academy (GA),USSSA Soccer,3,Girls,13,18,national,2020,200,15000,thegirlsacademy.com,Top girls tier nationally; merit-based 4-tier pathway: GA Open → DPL → ASPIRE → Girls Academy; ASPIRE launched 2025 as bridge tier; moderate-high national travel; strong college recruiting at national events
P009,USL Academy,USL,4,Both,14,20,national,2020,80,3000,uslsoccer.com,Pre-pro tier; U20 roster model (not age-separated teams); 14yr olds compete vs 16-19yr olds; minimum 6 underage players required per roster; tied to USL Championship/League Two pro franchises; KEY ADVANTAGE: USL Academy Contract allows 14-17yr olds to train/play with pro first team while MAINTAINING NCAA eligibility (unlike MLS Homegrown which forfeits eligibility)
P010,USYS National League,US Youth Soccer,2,Both,10,19,national,2011,300,50000,usyouthsoccer.org/national-league,Earned entry; regional conferences
P011,NPL (National Premier Leagues),US Club Soccer,2,Both,10,19,national,2011,1200,200000,usclubsoccer.org/npl,Regional pathway; feeds to ECNL. SUPERSEDED 2026-27: merging with USYS National League into unified N1L platform (see P028). FEE STRUCTURE NOTE: fees set club-by-club with no central schedule; regional operators set competition fees; club annual fees typically $2000-5000 all-in at T2 level; no central published fee list.
P012,ODP (Olympic Development Program),US Youth Soccer,3,Both,11,18,national,1977,54,20000,usyouthsoccer.org/odp,State-run ID program for national teams
P026,AYSO EXTRA,AYSO,2,Both,8,19,regional,2005,800,60000,ayso.org/extra,Tryout-based selective tier; top 15-20% of local AYSO players; travel across SoCal vs other EXTRA regions; Southern California Extra Development Soccer League (SCEDSL); Everyone Plays rule enforced (50% minimum play time guaranteed); advanced certified volunteer coaches; NO college scout or pro academy presence at matches; ideal springboard to club but not a scholarship/pro pathway
P027,USL Youth (Super Y League),USL,2,Both,9,19,national,1996,400,25000,uslyouth.com,Summer league May-Aug; does NOT conflict with Fall/Spring club team; regional divisions → USL Youth National Finals in Tampa FL (December); SoCal division includes West Coast FC Capo FC Oceanside Breakers; cost ~$575-600 registration + $150 uniform; good national tournament exposure during traditional off-season; complementary to ECNL/MLS NEXT not a replacement
P028,National 1 League (N1L),US Club Soccer / US Youth Soccer,2,Both,13,19,national,2026,10000 teams,150000,national1league.org,NEW 2026-27 season; merger of US Club Soccer NPL and US Youth Soccer National League into single unified platform; ~10000 teams ~150000 players; U13-U19 using Aug 1-Jul 31 age matrix; 8 geographic conferences by population density; top tier of team-based competition below ECNL; integrated postseason with ECNL-RL; promotes to ECNL Regional League; 32 district league operators (see references); affordability-focused; SoCal: SOCAL Soccer League or AZ Soccer Association operates West District 3
P029,Development Player League (DPL),DPL League,3,Girls,13,19,national,2019,70,8000,developmentplayerleague.com,Elite girls tier just below GA; 70+ clubs; regional conferences; HS play allowed U15+; 4-tier pathway: DPL Open→DPL→ASPIRE→GA; age groups shifting Aug 1-Jul 31 in 2026-27
P030,GA ASPIRE,Girls Academy League,3,Girls,13,19,national,2025,100,5000,thegirlsacademy.com,NEW 2025; second tier in GA ecosystem; bridge between DPL and full GA; more regional than top GA; collaboration with DPL
P031,Elite Academy League (EAL),EAL (independent),3,Boys,13,19,national,2018,150,12000,eliteacademyleague.com,Boys tier just below MLS NEXT; on par with or just under ECNL; HS play allowed; EAL and EAL 2 tiers; national showcases; aligned with former USSDA standards
P032,National Academy League (NAL),NAL/USYS state associations,3,Both,13,19,national,2023,200,15000,nationalacademyleague.com,Launched 2023; just below MLS NEXT/ECNL/GA; often hosts second teams of elite clubs; GotSport registration; 2026-27 expansion to multiple conference regions; college coaches at championships
P034,MLS NEXT Homegrown Division,Major League Soccer,4,Boys,13,19,national,2025,50,5000,mlsnext.com,NEW top tier 2025-26; MLS pro academies + elite non-MLS clubs; Homegrown contract pathway; HS play generally not allowed; direct pro pipeline; up to 45 registered players + 9 non-reg prospects per club
P035,MLS NEXT Academy Division,Major League Soccer,3,Boys,13,19,national,2025,223,38000,mlsnext.com,NEW second tier 2025-26; broader clubs via NAL/EAL/SDL/Cobalt/Cal North partners; HS play allowed; U13 uses three 25-min periods; every rostered player gets at least one 25-min uninterrupted period
P036,Coast Soccer League,Coast Soccer / US Club Soccer,2,Both,7,19,regional,1980,500,40000,coastsoccer.us,SoCal competitive travel league system; tiered divisions D1/D2/D3 with N/W/S sub-divisions; covers LA Inland Empire Orange County San Bernardino; major feeder into ECNL and MLS NEXT; typical club fee ~$3800/yr (real data One Ivy FC 2025); U7-U19; multiple clubs per age group
P038,San Diego Surf Junior Academy,San Diego Surf SC,1,Both,5,8,local,2000,3,800,surfsoccer.com/junior-academy,Entry-level/developmental tier of Surf organization; U5-U8; three locations (Del Mar/Central/South); 4v4 and 7v7 small-sided; low-pressure technical development; USSF-licensed coaches; no pricing published; separate from competitive ECNL Surf teams (P018 serves U10-U19)
P039,Albion SC,Albion SC,4,Boys,8,19,local,2010,2,2000,albionsc.com,MLS NEXT; two locations Ocean Beach and Kearny Mesa San Diego; high touches/practices per week; physical style of play; high ranked teams in most age groups; less emphasis on team tactics vs technical skills; practice fields vary by location; community review: good value with a lot of soccer
