name,position,dob,current_club,current_league,trained_primarily,development_notes
Chris Brady,GK,2004,Chicago Fire,MLS,USA,Chicago Fire Academy from age 12; pure US homegrown product
Matt Freese,GK,1999,New York City FC,MLS,USA,Philadelphia Union Academy then NYCFC; US homegrown path
Matt Turner,GK,1994,New England Revolution,MLS,USA,Late developer; didn't play until 14; Eastern NY/NJ clubs; Fairfield University
Max Arfsten,DEF,2001,Columbus Crew,MLS,USA,California Odyssey club; UC Davis walk-on; no youth national team history
Sergiño Dest,DEF,2000,PSV Eindhoven,Eredivisie (Netherlands),Netherlands,Ajax Academy from age 11; born in Netherlands; dual US/Netherlands; entire development in Dutch system
Alex Freeman,DEF,2004,Villarreal,La Liga (Spain),USA,Weston FC and Orlando City Academy (Florida); moved to Villarreal Jan 2026
Mark McKenzie,DEF,2000,Toulouse,Ligue 1 (France),USA,Delaware Rush → Wilmington Rangers → Philadelphia Union Academy; solid US homegrown path
Tim Ream,DEF,1987,Charlotte FC,MLS,USA,St. Louis Billikens (college); MLS/Bolton/Fulham career; oldest on roster; fully US-developed
Chris Richards,DEF,2000,Crystal Palace,Premier League (England),USA→Germany,FC Dallas Academy then transferred to Bayern Munich at 19; early dev in US; professional dev in Germany
Antonee Robinson,DEF,1997,Fulham,Premier League (England),England,Everton Academy from age 11; born in Milton Keynes; entire youth development in English system; US-eligible by passport
Miles Robinson,DEF,1997,FC Cincinnati,MLS,USA,Florida local clubs then FC Dallas Academy; US-developed MLS product
Joe Scally,DEF,2002,Borussia Mönchengladbach,Bundesliga (Germany),USA→Germany,NYCFC Academy (Long Island) then Gladbach at 18; US youth but professional development in Germany
Auston Trusty,DEF,1998,Celtic,Scottish Premiership,USA,Philadelphia Union Academy (first Union Juniors cohort 2011); US homegrown
Tyler Adams,MID,1999,Bournemouth,Premier League (England),USA,New York Red Bulls Academy; first Red Bull homegrown from Regional Development School; pure US product
Sebastian Berhalter,MID,2001,Vancouver Whitecaps,MLS,USA,Born London (father playing Crystal Palace); raised Columbus OH; Columbus Crew Academy; brief Hammarby Sweden stint at 11–12
Weston McKennie,MID,1998,Juventus,Serie A (Italy),USA→Germany,Grew up between Texas and Germany (military family); FC Dallas Academy then Schalke 04 Academy; hybrid path
Gio Reyna,MID,2002,Borussia Mönchengladbach,Bundesliga (Germany),Germany,NYCFC briefly then Borussia Dortmund U-17 at 16; father Claudio (USMNT/NYCFC); holds Portuguese passport; developed in Germany
Cristian Roldan,MID,1995,Seattle Sounders,MLS,USA,Pico Rivera CA; Union Independiente local club; El Rancho HS; University of Washington; 100% US grassroots
Malik Tillman,MID,2002,Bayer Leverkusen,Bundesliga (Germany),Germany,Born Nuremberg to American military father; Greuther Fürth from age 8 then Bayern Munich Academy; was Germany-eligible; chose USMNT 2022
Brenden Aaronson,FWD,2000,Leeds United,Championship (England),USA,Philadelphia Union Academy (YSC Academy pipeline); South Jersey; pure US homegrown product
Folarin Balogun,FWD,2001,Monaco,Ligue 1 (France),England,Born Brooklyn; family moved to London as infant; Arsenal Hale End Academy from age 8; was England youth international before choosing USMNT; also eligible Nigeria
Ricardo Pepi,FWD,2003,PSV Eindhoven,Eredivisie (Netherlands),USA,El Paso/San Elizario TX; played in Ciudad Juárez leagues as child; FC Dallas Academy from 2016; US-developed
Christian Pulisic,FWD,1998,AC Milan,Serie A (Italy),USA→Germany,Born Hershey PA; Pennsylvania Classics early training; Borussia Dortmund Academy at 16; partial German heritage; key development at Dortmund
Tim Weah,FWD,2000,Olympique Marseille,Ligue 1 (France),France,Born NYC; son of George Weah; NY AYSO/Red Bulls/Gottschee early; PSG Academy at age 14; dual eligible (Liberia); formative development at PSG
Haji Wright,FWD,1998,Coventry City,Championship (England),USA,LA (AYSO/Galaxy Academy/LA Breakers); U-17 residency Bradenton FL; NY Cosmos then Schalke youth; mostly US-developed through late teens
Alex Zendejas,FWD,1995,Club América,Liga MX (Mexico),USA→Mexico,Born Ciudad Juárez; raised El Paso TX; FC Dallas Academy; signed Chivas Guadalajara 2016; Liga MX career; dual eligible; chose USMNT 2026
